dataset,experiment,alpha,coverage_nan,coverage_full
rf2,0,0.1,0.8840262582056893,0.9135667396061268
biais,0,0.1,0.904639175257732,0.865979381443299
rf1,0,0.1,0.9223194748358862,0.9026258205689278
rf2,1,0.1,0.8916849015317286,0.888402625820569
biais,1,0.1,0.9162371134020618,0.8698453608247423
house,0,0.1,0.8945420906567992,0.8885291396854764
rf2,2,0.1,0.912472647702407,0.87527352297593
biais,2,0.1,0.8994845360824743,0.8389175257731959
rf1,1,0.1,0.901531728665208,0.8632385120350109
rf2,3,0.1,0.8916849015317286,0.8818380743982495
biais,3,0.1,0.913659793814433,0.8569587628865979
house,1,0.1,0.9088806660499538,0.8862164662349676
rf2,4,0.1,0.926695842450766,0.8982494529540481
biais,4,0.1,0.9201030927835052,0.865979381443299
rf1,2,0.1,0.9026258205689278,0.8971553610503282
casp,0,0.1,0.8952776563183209,0.9013992129427196
rf2,5,0.1,0.9168490153172868,0.9113785557986872
biais,5,0.1,0.8904639175257731,0.8144329896907216
rf2,6,0.1,0.8938730853391685,0.8905908096280087
taxi,0,0.1,0.9048939641109298,0.8934747145187601
biais,6,0.1,0.8969072164948454,0.8479381443298969
rf1,3,0.1,0.9343544857768052,0.9212253829321664
house,2,0.1,0.8908418131359852,0.8755781683626273
rf2,7,0.1,0.9299781181619255,0.9102844638949672
biais,7,0.1,0.9085051546391752,0.8569587628865979
rf2,8,0.1,0.9201312910284464,0.9059080962800876
rf1,4,0.1,0.901531728665208,0.8763676148796499
biais,8,0.1,0.8917525773195877,0.8505154639175257
house,3,0.1,0.9061054579093432,0.8922294172062905
rf2,9,0.1,0.8862144420131292,0.8938730853391685
biais,9,0.1,0.9123711340206184,0.8698453608247423
rf1,5,0.1,0.8938730853391685,0.8763676148796499
casp,1,0.1,0.8909051158723218,0.8832531700918234
rf1,6,0.1,0.9004376367614879,0.8982494529540481
house,4,0.1,0.9125809435707678,0.9042553191489362
rf1,7,0.1,0.9004376367614879,0.8851203501094091
taxi,1,0.1,0.8951060358890701,0.8955954323001631
house,5,0.1,0.8977798334875116,0.8802035152636448
rf1,8,0.1,0.9102844638949672,0.8949671772428884
house,6,0.1,0.9153561517113784,0.8820536540240518
casp,2,0.1,0.9070835155225184,0.8944031482291211
rf1,9,0.1,0.9091903719912472,0.8927789934354485
house,7,0.1,0.88945420906568,0.8677150786308974
taxi,2,0.1,0.8986949429037521,0.9037520391517128
house,8,0.1,0.877890841813136,0.851063829787234
casp,3,0.1,0.9118933100131176,0.90074333187582
house,9,0.1,0.8963922294172063,0.8806660499537465
taxi,3,0.1,0.8905383360522022,0.8818923327895596
casp,4,0.1,0.8972452995190205,0.8983384346305203
casp,5,0.1,0.8933100131176214,0.8843463052033231
taxi,4,0.1,0.8972267536704731,0.8866231647634584
casp,6,0.1,0.8983384346305203,0.8832531700918234
taxi,5,0.1,0.899184339314845,0.8923327895595432
casp,7,0.1,0.8946217752514211,0.8996501967643201
taxi,6,0.1,0.8931484502446982,0.899673735725938
casp,8,0.1,0.8937472671622213,0.8885002186270223
taxi,7,0.1,0.899347471451876,0.9057096247960847
casp,9,0.1,0.8885002186270223,0.8941845212068211
