dataset,alpha,experiment,volume_levelset,volume_likelihood,volume_one,volume_ot,coverage_levelset,coverage_likelihood,coverage_one,coverage_ot,ERT_levelset,ERT_likelihood,ERT_one,ERT_ot,WSC_levelset,WSC_likelihood,WSC_one,WSC_ot
house,0.1,6,2.019025,1.9963194,2.4876254,2.724734301571469,0.8825161887141536,0.8857539315448658,0.8876040703052729,0.900555041628122,0.0457751661755757,0.0505003878009522,0.0815869116679136,0.0653079386821876,0.764976978302002,0.7188940048217773,0.6787330508232117,0.7142857313156128
house,0.1,5,1.8692603,1.8615134,2.617688,2.62261722713617,0.8820536540240518,0.8913043478260869,0.8991674375578168,0.9000925069380203,0.0406164964333274,0.0499431231604416,0.0793525017069522,0.0848188863036855,0.7601625919342041,0.764976978302002,0.7373272180557251,0.7586206793785095
house,0.1,3,1.7408842,1.6915065,2.2339785,2.2377818964684897,0.9051803885291396,0.896854764107308,0.8991674375578168,0.8913043478260869,0.0220100990328569,0.0553092160305264,0.0757638420229971,0.0745562863817941,0.7834101319313049,0.7590909004211426,0.752136766910553,0.7412280440330505
house,0.1,4,2.900085,2.89918,3.8289163,3.956146381099942,0.9037927844588344,0.9088806660499538,0.900555041628122,0.8991674375578168,0.0255284064259217,0.0502277511519878,0.087887700980738,0.0820505183554319,0.7880184054374695,0.7752293348312378,0.7281106114387512,0.7419354915618896
house,0.05,6,2.4529004,2.4322147,3.1732943,4.059857754024166,0.9431082331174838,0.9435707678075856,0.9449583718778908,0.9472710453283996,0.0160437517910086,0.0328355179168682,0.056564565187223,0.0373238007908207,0.7981651425361633,0.7678571343421936,0.642201840877533,0.7387387156486511
house,0.05,5,2.3310888,2.2601671,3.1885512,3.8036524566769634,0.9403330249768732,0.938945420906568,0.9514338575393154,0.9602220166512488,0.016282823315006,0.0175243785983226,0.0536474701464201,0.0394534320307087,0.8035714030265808,0.7981651425361633,0.78899085521698,0.8073394298553467
house,0.05,3,2.034319,2.0183444,2.6491396,2.9932012449260665,0.9486586493987048,0.946345975948196,0.942645698427382,0.9481961147086032,0.0169720334820522,0.0244218870898011,0.0413064569129057,0.0260478178988917,0.8165137767791748,0.8070175647735596,0.7798165082931519,0.8157894611358643
house,0.05,4,3.487643,3.445137,5.028621,5.874671469605212,0.9495837187789083,0.9491211840888066,0.9574468085106383,0.956059204440333,0.0209491321985444,0.0266379104749537,0.0420408935290326,0.0443052408387485,0.8073394298553467,0.752293586730957,0.7433628439903259,0.78899085521698
house,0.1,8,1.7534673,1.6908994,2.3398407,2.387942765487715,0.9042553191489362,0.8903792784458835,0.8880666049953746,0.8936170212765957,0.0214697264055222,0.0539320871107756,0.0932433133898824,0.0892584097453214,0.7958333492279053,0.7349397540092468,0.7180616855621338,0.7511110901832581
house,0.1,2,1.3426061,1.3154101,1.8855292,1.877880636608332,0.912118408880666,0.9079555966697502,0.9125809435707678,0.9061054579093432,0.0384851698025126,0.0665154900234541,0.0756665487961797,0.0789915394254322,0.7739130258560181,0.75,0.7566371560096741,0.7327188849449158
house,0.1,9,1.7632324,1.7569442,2.422432,2.6142630276376826,0.9061054579093432,0.912118408880666,0.8977798334875116,0.9061054579093432,0.0259019854738473,0.0441236958487612,0.0936230948902096,0.0715052286722674,0.7657657861709595,0.75,0.7465437650680542,0.7511110901832581
house,0.1,1,1.0786778,1.0912505,1.2836275,1.2987458151345117,0.8954671600370028,0.8977798334875116,0.8977798334875116,0.8880666049953746,0.0140599631236378,0.0256284817771562,0.0541138568621747,0.0558737539796912,0.7739130258560181,0.7534246444702148,0.7260273694992065,0.6863636374473572
house,0.05,8,2.130712,2.0908847,2.9573076,2.966843903922843,0.9546716003700276,0.9518963922294172,0.9477335800185014,0.9384828862164662,0.0184092517002503,0.0320075310395155,0.0550353957645224,0.0499516749838829,0.7981651425361633,0.7727272510528564,0.7706422209739685,0.7586206793785095
biais,0.1,9,1.098921,1.0608928,1.1645812,1.909266374650543,0.8865979381443299,0.8865979381443299,0.8814432989690721,0.9201030927835052,0.0296459850365707,0.0216244808300355,0.0621009092887045,0.0347742018392009,0.6794871687889099,0.6794871687889099,0.6875,0.7307692170143127
house,0.1,0,2.2995865,2.2856572,3.1769197,3.153462085985272,0.901017576318224,0.9079555966697502,0.912118408880666,0.9019426456984274,0.0311836071170311,0.0399717832379442,0.0756727495941713,0.0731815142231209,0.7533632516860962,0.7757847309112549,0.7373272180557251,0.7564102411270142
house,0.05,2,1.5885738,1.5715715,2.3278673,2.6538384985665573,0.9431082331174838,0.9431082331174838,0.9518963922294172,0.9555966697502312,0.0315416796968252,0.0391775755465831,0.0404220183286345,0.0403316697066093,0.7339449524879456,0.7431192398071289,0.7706422209739685,0.7909091114997864
